,subj,channel,X10,raw_top_r,raw_top_rho,raw_btm_r,raw_btm_rho,raw_comb_r,raw_comb_rho,raw_SAM_y_r,raw_SAM_y_rho,raw_SAM_e_r,raw_SAM_e_rho,raw_SAM_i_r,raw_SAM_i_rho,control_rho,Unnamed: 0,raw_top_r_pval,raw_top_rho_pval,raw_btm_r_pval,raw_btm_rho_pval,raw_comb_r_pval,raw_comb_rho_pval,raw_SAM_y_r_pval,raw_SAM_y_rho_pval,raw_SAM_e_r_pval,raw_SAM_e_rho_pval,raw_SAM_i_r_pval,raw_SAM_i_rho_pval,raw_top_r_pFDR,raw_top_rho_pFDR,raw_btm_r_pFDR,raw_btm_rho_pFDR,raw_comb_r_pFDR,raw_comb_rho_pFDR,raw_SAM_y_r_pFDR,raw_SAM_y_rho_pFDR,raw_SAM_e_r_pFDR,raw_SAM_e_rho_pFDR,raw_SAM_i_r_pFDR,raw_SAM_i_rho_pFDR
28,1002,LPPV11-LPPV10,Rolandic,-0.0087643651917367,-0.0497353492696558,-0.0008713967326779,-0.0051659827785572,-0.0113372273052613,-0.0145696612111457,0.0505860251144969,0.0504735893877743,-0.0100727124131543,-0.000594656351145,-0.012693685489439,-0.0213879394220703,0.0150284329965492,28,1.0,0.041,0.998,0.865,1.0,1.0,0.677,0.479,0.0,0.001,1.0,1.0,1.0,0.06964383561643836,1.0,1.0,1.0,1.0,1.0,0.7713766233766234,0.0,0.0022142857142857146,1.0,1.0
29,1002,LPPV12-LPPV11,Rolandic,-0.0285448676531684,-0.0579696722511475,0.0247464198493093,0.0134554911768785,-0.0086395336258501,-0.0132318756531001,-0.0336510212942012,-0.0220224826275972,-0.0181812213293704,-0.0208196408351425,0.0455782663522642,0.0377261766601882,0.0279814762210361,29,0.116,0.0,0.854,0.987,0.001,0.014,0.006,0.099,1.0,0.999,0.022,0.001,0.1630112359550562,0.0,1.0,1.0,0.0014761904761904762,0.020423529411764705,0.01219672131147541,0.18886153846153847,1.0,1.0,0.0433015873015873,0.0022142857142857146
30,1002,LPPV13-LPPV12,Rolandic,-0.025369951647345,-0.0329399645663943,0.0350197838331223,0.0435163215866114,0.011778372040141,0.0016745989239358,-0.0712728712381413,-0.0611203151872504,-0.0456315312527357,-0.0535288904846224,0.0572675223479844,0.047982968829275,0.0058008685121389,30,0.0,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6026666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1002,LPPV14-LPPV13,Rolandic,-0.0397778422086649,-0.0339014707682353,0.0101718085859199,0.0279235398277663,-0.0407864075000659,-0.0244825106692017,-0.082695983496439,-0.074494094223055,-0.0196483083740526,-0.0301574348411895,0.0710817691392086,0.0544404344384695,0.0036447619271619,31,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006278481012658228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1002,LPPV15-LPPV14,Parietal,0.0104583895649158,0.0031455718312914,-0.0229833423486278,-0.0325335273813643,-0.0114001105418762,-0.0204171242907398,0.039527732567907,0.0247633460421353,0.0194278191394732,0.0274244196199071,-0.0234327647998439,-0.0018988035038085,-0.0172330764212922,32,0.0,0.905,0.0,0.0,0.005,0.012,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006966292134831461,0.017714285714285717,0.0,0.0,0.0021754385964912284,0.0,0.0,0.0
33,1002,LPPV16-LPPV15,Parietal,0.0123669653994741,-0.0025606614017058,-0.0207585876900229,-0.0086777700924432,-0.0037055495536451,-0.008998712735794,0.0222245555759826,-0.0048857932937269,0.0160682713574808,0.0087543297206927,-0.0161652591115892,0.0252211148193783,0.0049105597616895,33,0.002,0.998,1.0,0.957,1.0,1.0,1.0,0.0,1.0,0.998,1.0,0.0,0.003220779220779221,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
34,1002,LPPV2-LPPV1,Cingulate,0.037580498220091,0.0665233488837358,-0.0300996443458504,-0.0292570238171238,0.0222163690346325,0.0244044112007057,0.0214657726025384,0.0284023464323754,0.0101230820155075,0.0205099079215852,-0.0610607985187576,-0.065086700205872,-0.0485764201882272,34,1.0,0.739,0.031,0.126,0.917,1.0,0.0,0.0,0.566,0.043,0.0,0.0,1.0,0.9256161616161617,0.05737313432835821,0.20832,1.0,1.0,0.0,0.0,0.8256941176470587,0.07205405405405405,0.0,0.0
35,1002,LPPV3-LPPV2,Cingulate,0.0583260517099593,0.0524708167153306,-0.0156846148600238,-0.0160908451985352,0.0133835403425732,0.0146413248386119,0.0124886892080796,0.0172924290067886,0.0136078465296243,0.0130799022527843,-0.0489479585080466,-0.0587864027498244,-0.0192930708628913,35,0.891,0.998,0.032,0.075,1.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05835294117647059,0.13285714285714284,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1002,LPPV4-LPPV3,Cingulate,0.0696179793934885,0.0560282508845201,0.0195683126610618,0.0200503742800598,0.068985140487451,0.070373868795819,0.04031660505107,0.0409861820457891,0.0034002720509059,0.0007029105764656,-0.0485525002638922,-0.070099075279852,0.0054956982873117,36,0.0,0.178,0.993,0.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2596705882352941,1.0,0.8787826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1002,LPPV5-LPPV4,Prefrontal,0.1379558265406749,0.1128828099972496,-0.0438952890992284,-0.0419205340672854,0.0915736806890126,0.0650541515926642,0.1039377781003126,0.1077251930440308,0.0408922765703285,0.0447718950355032,-0.1417377885405909,-0.1442274117483859,-0.0618395549823288,37,0.0,0.0,1.0,0.751,0.0,0.0,0.0,0.0,0.178,0.03,0.0,0.0,0.0,0.0,1.0,0.9802526315789474,0.0,0.0,0.0,0.0,0.3108732394366197,0.05391304347826087,0.0,0.0
